id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,cancellation_policy,amenities
735970,Part of a Large Condo Jamaica Plain,3840038,Sidney,,Jamaica Plain,42.31691221,-71.11302542,Private room,2,1,1,1,55,,,300,3,5/22/15,0.06,1,0,flexible,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer}"
8034092,Private room priced Sept 1-one year or end of May,30489899,Helena,,Allston,42.35536689,-71.13735574,Private room,1,1.5,1,1,58,,50.00,273,4,9/1/16,0.34,9,365,strict,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
6627802,Boston's Charlestown Navy Yard,30658962,Marlo,,Charlestown,42.37525497,-71.05330863,Entire home/apt,3,2,2,2,1000,1000,100.00,200,0,,,2,365,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Doorman,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials}"
1717816,Modern Comfort with Amazing Views,4195134,LifestyleFurnishedApartments,,Back Bay,42.35323745,-71.07939585,Entire home/apt,2,1,1,1,99,1500,150.00,90,2,5/30/16,0.13,7,340,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",Washer,Dryer}"
13027627,"Sunny, large private room in an AMAZING location",71965368,Tal,,Fenway,42.34648893,-71.09214601,Private room,2,1,1,1,45,,35.00,90,2,5/18/16,0.53,1,25,flexible,"{Internet,""Wireless Internet"",Kitchen,Heating}"
5280183,Classic & Stylish w/ Balcony,4195134,LifestyleFurnishedApartments,,Back Bay,42.35380771,-71.07881419,Entire home/apt,2,1,0,1,110,1000,150.00,60,3,3/25/16,0.23,7,279,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
4972820,Beautiful 1 Bedroom on Beacon,4195134,LifestyleFurnishedApartments,,Back Bay,42.3535795,-71.07779788,Entire home/apt,3,1,1,1,130,1500,150.00,60,1,6/24/16,0.39,7,303,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials}"
4358181,Gorgeous Brand New Spacious Studio,4195134,LifestyleFurnishedApartments,,Back Bay,42.35291931,-71.07898548,Entire home/apt,2,1,0,1,130,1000,150.00,60,4,9/1/15,0.23,7,335,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}"
4410765,"Great Location & Value.Large 3 Bed, Min stay 3 mos",9795590,Patrick,,Brighton,42.35365396,-71.14827415,Entire home/apt,5,2,3,4,135,2000,180.00,60,3,5/19/16,0.29,1,183,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}"
1275498,"Parlor Retreat, South End studio",5430185,Laura,,South End,42.34419543,-71.07363011,Entire home/apt,2,1,1,1,160,400,200.00,32,15,8/29/16,0.4,4,252,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
989163,"Victorian Dream Studio, South End",5430185,Laura,,South End,42.34285805,-71.07339305,Entire home/apt,2,1,1,1,170,400,200.00,32,19,8/12/16,0.52,4,318,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
2215762,"Boutique South End, with sunshine",5430185,Laura,,South End,42.34414714,-71.0727257,Entire home/apt,2,1,1,1,185,400,200.00,32,16,8/20/16,0.56,4,309,strict,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
1445064,Sunny Quaint Bedroom in Condo,4724006,Rosalia,,Charlestown,42.37963303,-71.06191588,Private room,1,1,1,1,49,,120.00,32,73,4/25/16,1.99,1,250,moderate,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",""Other pet(s)"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
7790454,Vacation Rental,869131,Maura,,Jamaica Plain,42.30881608,-71.1139284,Entire home/apt,6,2,4,5,184,,200.00,30,0,,,2,175,flexible,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}"
903598,[1684-NE]2BR At The Longwood,25188,Seamless,,Mission Hill,42.33285419,-71.10123472,Entire home/apt,4,1,2,2,299,,200.00,30,0,,,79,364,super_strict_30,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}"
195515,[1684-ST] Lux 1BR-Longwood Med Area,25188,Seamless,,Mission Hill,42.33258807,-71.10068446,Entire home/apt,2,1,1,1,199,,150.00,30,1,5/25/12,0.02,79,89,super_strict_30,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}"
130552,[1684-2]2BRs-Near Longwood Med Area,25188,Seamless,,Mission Hill,42.3346777,-71.10251314,Entire home/apt,4,1,2,2,269,,150.00,30,2,10/26/13,0.05,79,364,super_strict_30,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}"
10928093,Modern 2 bed in Heart of North End,29385474,Justin,,North End,42.36567957,-71.05666097,Entire home/apt,4,1,2,2,125,,15.00,30,1,2/14/16,0.14,1,0,flexible,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,Hangers,""Laptop Friendly Workspace""}"
13258244,Comfortable quite room.,67103816,Firlian,,Roxbury,42.31626447,-71.09222252,Private room,1,1.5,1,1,35,,6.00,30,2,7/8/16,0.64,2,95,flexible,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
10190260,High End South End Loft/Silver Line,10778805,Paul,,Roxbury,42.3332953,-71.07815404,Private room,1,1.5,1,1,75,200,100.00,30,1,1/30/16,0.14,1,105,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,Essentials,Hangers,Iron,""Laptop Friendly Workspace""}"
13298137,"Small Rm, Renovated House, EZ to Downtown/Longwood",18517776,Huggy,,Roxbury,42.31633899,-71.07923884,Private room,1,1,1,1,33,300,50.00,30,1,8/8/16,1,6,340,strict,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,""Hot Tub"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
4593974,Parking EZ 2 Downtown/Longwood Larg,18517776,Huggy,,Roxbury,42.31645798,-71.07951953,Private room,1,1,1,1,39,300,50.00,30,4,8/26/16,0.51,6,284,strict,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Gym,""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door"",""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
13077603,Comfortable furnished room with high ceilings.,67103816,Firlian,,Roxbury,42.31781669,-71.09135484,Private room,1,1.5,1,1,35,,5.00,30,9,8/20/16,2.45,2,93,flexible,"{TV,Internet,""Wireless Internet"",Kitchen,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}"
3656168,Parking Close 2 Downtown Renovated,18517776,Huggy,,Roxbury,42.31793468,-71.07922631,Private room,1,1,1,1,40,300,50.00,30,4,8/17/16,0.32,6,340,strict,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",Gym,""Hot Tub"",""Buzzer/Wireless Intercom"",""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door"",""24-Hour Check-in"",""Laptop Friendly Workspace""}"
7161203,Cozy Rm EZ St Parking EZ 2 downtown,18517776,Huggy,,Roxbury,42.31710874,-71.08077882,Private room,1,1,1,1,35,300,50.00,30,3,4/30/16,0.34,6,351,strict,"{Internet,""Wireless Internet"",Kitchen,""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}"
2916208,BOSTON in Trendy South End,14892598,Yucel,,South End,42.3409612,-71.06641321,Private room,1,1,1,1,100,,,30,26,8/23/15,0.91,1,248,moderate,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
9487079,Adorable South End Studio,39051883,Gretchen,,South End,42.34376717,-71.07493705,Entire home/apt,2,1,0,1,106,500,150.00,30,0,,,3,102,flexible,"{""Cable TV"",""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
8584276,Back Bay 345,3521413,Elly,,Back Bay,42.35031514,-71.08681016,Entire home/apt,4,1,1,2,189,300,150.00,30,8,8/12/16,0.74,1,179,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
238846,Blossom,434539,Brahma,,East Boston,42.38066058,-71.03503979,Entire home/apt,4,1,2,2,300,,,30,15,7/23/16,0.25,3,365,flexible,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
4917583,Seconds from Mass General Hospital,20079643,Pierre,,West End,42.36401182,-71.06782412,Entire home/apt,4,1,1,2,185,500,150.00,30,0,,,4,365,moderate,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Pets Allowed"",Doorman,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}"
6432655,Beautiful Beacon Hill 1 Bedroom,28525504,Allegra,,Beacon Hill,42.36059644,-71.06666051,Entire home/apt,2,1,1,1,150,,70.00,30,34,8/3/16,2.24,1,204,flexible,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Shampoo}"
5064995,Beacon Hill Brownstone,13435932,Tom,,Beacon Hill,42.36078945,-71.06710894,Entire home/apt,2,1,2,2,147,350,,30,13,8/31/16,0.71,1,59,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
13307513,Elegant Beacon Hill apartment,2946638,S,,Beacon Hill,42.35987844,-71.07121097,Entire home/apt,3,1,1,1,114,500,80.00,30,0,,,1,0,flexible,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
2821825,[1852-2C]2BRs in Downtown Boston,25188,Seamless,,Downtown,42.35318623,-71.06259648,Entire home/apt,4,2,2,2,329,,150.00,30,4,9/21/15,0.17,79,364,super_strict_30,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Pets Allowed"",Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}"
8792,Large 1 Bed facing State House,26988,Anne,,Downtown,42.35849698,-71.06201144,Entire home/apt,3,1,1,1,154,1000,250.00,30,18,8/17/15,0.21,10,248,moderate,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating}"
