Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],Long Name,Income Group,Region
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,2438.555,1301.785,876.413,..,..,..,Aruba,High income,Latin America & Caribbean
Andorra,ADO,CO2 emissions (kt),EN.ATM.CO2E.KT,491.378,491.378,491.378,..,..,..,Principality of Andorra,High income,Europe & Central Asia
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,12251.447,20454.526,21268.6,..,..,..,Islamic State of Afghanistan,Low income,South Asia
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,30340.758,33399.036,32463.951,..,..,..,People's Republic of Angola,Upper middle income,Sub-Saharan Africa
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,5240.143,4712.095,4814.771,..,..,..,Republic of Albania,Upper middle income,Europe & Central Asia
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,159584.173,172356.334,169122.04,..,..,..,United Arab Emirates,High income,Middle East & North Africa
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,191633.753,192359.819,189818.588,..,..,..,Argentine Republic,Upper middle income,Latin America & Caribbean
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,4917.447,5694.851,5496.833,..,..,..,Republic of Armenia,Lower middle income,Europe & Central Asia
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,American Samoa,Upper middle income,East Asia & Pacific
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,513.38,524.381,524.381,..,..,..,Antigua and Barbuda,High income,Latin America & Caribbean
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,376710.91,375456.796,377906.352,..,..,..,Commonwealth of Australia,High income,East Asia & Pacific
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,65257.932,62247.325,62408.673,..,..,..,Republic of Austria,High income,Europe & Central Asia
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,33446.707,35555.232,35643.24,..,..,..,Republic of Azerbaijan,Upper middle income,Europe & Central Asia
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,242.022,282.359,293.36,..,..,..,Republic of Burundi,Low income,Sub-Saharan Africa
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,98917.325,92195.714,93618.51,..,..,..,Kingdom of Belgium,High income,Europe & Central Asia
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,5306.149,5511.501,5797.527,..,..,..,Republic of Benin,Low income,Sub-Saharan Africa
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,2211.201,2629.239,3058.278,..,..,..,Burkina Faso,Low income,Sub-Saharan Africa
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,63571.112,67480.134,68950.601,..,..,..,People's Republic of Bangladesh,Lower middle income,South Asia
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,49343.152,44873.079,39563.263,..,..,..,Republic of Bulgaria,Upper middle income,Europe & Central Asia
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,29365.336,29086.644,31957.905,..,..,..,Kingdom of Bahrain,High income,Middle East & North Africa
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,1906.84,1917.841,3109.616,..,..,..,Commonwealth of The Bahamas,High income,Latin America & Caribbean
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,23886.838,22258.69,21906.658,..,..,..,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,63655.453,63222.747,63769.13,..,..,..,Republic of Belarus,Upper middle income,Europe & Central Asia
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,597.721,480.377,517.047,..,..,..,Belize,Upper middle income,Latin America & Caribbean
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,396.036,443.707,363.033,..,..,..,The Bermudas,High income,North America
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,16145.801,18793.375,19702.791,..,..,..,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,439412.943,470028.726,503677.118,..,..,..,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1529.139,1470.467,1448.465,..,..,..,Barbados,High income,Latin America & Caribbean
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,9695.548,9651.544,7785.041,..,..,..,Brunei Darussalam,High income,East Asia & Pacific
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,733.4,817.741,883.747,..,..,..,Kingdom of Bhutan,Lower middle income,South Asia
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,4400.4,4448.071,5423.493,..,..,..,Republic of Botswana,Upper middle income,Sub-Saharan Africa
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,278.692,293.36,297.027,..,..,..,Central African Republic,Low income,Sub-Saharan Africa
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,497329.541,481601.778,475734.578,..,..,..,Canada,High income,North America
Switzerland,CHE,CO2 emissions (kt),EN.ATM.CO2E.KT,36967.027,37740.764,40348.001,..,..,..,Switzerland,High income,Europe & Central Asia
Channel Islands,CHI,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Channel Islands,High income,Europe & Central Asia
Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,79243.87,80974.694,83171.227,..,..,..,Republic of Chile,High income,Latin America & Caribbean
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,9724590.64,10020744.89,10249463.02,..,..,..,People's Republic of China,Upper middle income,East Asia & Pacific
Cote d'Ivoire,CIV,CO2 emissions (kt),EN.ATM.CO2E.KT,6398.915,8390.096,8987.817,..,..,..,Republic of C™te d'Ivoire,Lower middle income,Sub-Saharan Africa
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,5768.191,6127.557,6813.286,..,..,..,Republic of Cameroon,Lower middle income,Sub-Saharan Africa
"Congo, Rep.",COG,CO2 emissions (kt),EN.ATM.CO2E.KT,2233.203,2383.55,2482.559,..,..,..,Republic of Congo,Lower middle income,Sub-Saharan Africa
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,76530.29,79874.594,89625.147,..,..,..,Republic of Colombia,Upper middle income,Latin America & Caribbean
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,150.347,146.68,161.348,..,..,..,Union of the Comoros,Low income,Sub-Saharan Africa
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,531.715,495.045,443.707,..,..,..,Republic of Cabo Verde,Lower middle income,Sub-Saharan Africa
Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,7741.037,7766.706,7616.359,..,..,..,Republic of Costa Rica,Upper middle income,Latin America & Caribbean
Cuba,CUB,CO2 emissions (kt),EN.ATM.CO2E.KT,35987.938,36156.62,39339.576,..,..,..,Republic of Cuba,Upper middle income,Latin America & Caribbean
Curacao,CUW,CO2 emissions (kt),EN.ATM.CO2E.KT,..,6028.548,5254.811,..,..,..,Curaçao,High income,Latin America & Caribbean
Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,594.054,542.716,539.049,..,..,..,Cayman Islands,High income,Latin America & Caribbean
Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,7425.675,6919.629,5947.874,..,..,..,Republic of Cyprus,High income,Europe & Central Asia
Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,106907.718,101036.851,98660.635,..,..,..,Czech Republic,High income,Europe & Central Asia
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,732120.217,739300.203,757312.507,..,..,..,Federal Republic of Germany,High income,Europe & Central Asia
Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,473.043,517.047,608.722,..,..,..,Republic of Djibouti,Lower middle income,Middle East & North Africa
Dominica,DMA,CO2 emissions (kt),EN.ATM.CO2E.KT,128.345,135.679,132.012,..,..,..,Commonwealth of Dominica,Upper middle income,Latin America & Caribbean
Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,40645.028,36405.976,38067.127,..,..,..,Kingdom of Denmark,High income,Europe & Central Asia
Dominican Republic,DOM,CO2 emissions (kt),EN.ATM.CO2E.KT,22082.674,22746.401,22071.673,..,..,..,Dominican Republic,Upper middle income,Latin America & Caribbean
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,121187.016,129987.816,134215.867,..,..,..,People's Democratic Republic of Algeria,Upper middle income,Middle East & North Africa
Ecuador,ECU,CO2 emissions (kt),EN.ATM.CO2E.KT,39640.27,40472.679,43527.29,..,..,..,Republic of Ecuador,Upper middle income,Latin America & Caribbean
"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,217163.407,217068.065,213012.363,..,..,..,Arab Republic of Egypt,Lower middle income,Middle East & North Africa
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,594.054,660.06,667.394,..,..,..,State of Eritrea,Low income,Sub-Saharan Africa
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,270547.593,264779.402,236968.874,..,..,..,Kingdom of Spain,High income,Europe & Central Asia
Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,18606.358,17623.602,19915.477,..,..,..,Republic of Estonia,High income,Europe & Central Asia
Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,7726.369,8562.445,10634.3,..,..,..,Federal Democratic Republic of Ethiopia,Low income,Sub-Saharan Africa
Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,56636.815,48826.105,46299.542,..,..,..,Republic of Finland,High income,Europe & Central Asia
Fiji,FJI,CO2 emissions (kt),EN.ATM.CO2E.KT,1591.478,1595.145,1708.822,..,..,..,Republic of Fiji,Upper middle income,East Asia & Pacific
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,331537.137,332956.266,333190.954,..,..,..,French Republic,High income,Europe & Central Asia
Faroe Islands,FRO,CO2 emissions (kt),EN.ATM.CO2E.KT,568.385,590.387,594.054,..,..,..,Faroe Islands,High income,Europe & Central Asia
"Micronesia, Fed. Sts.",FSM,CO2 emissions (kt),EN.ATM.CO2E.KT,128.345,143.013,146.68,..,..,..,Federated States of Micronesia,Lower middle income,East Asia & Pacific
Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,4470.073,4580.083,4756.099,..,..,..,Gabonese Republic,Upper middle income,Sub-Saharan Africa
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,447935.051,467197.802,457472.918,..,..,..,United Kingdom of Great Britain and Northern Ireland,High income,Europe & Central Asia
Georgia,GEO,CO2 emissions (kt),EN.ATM.CO2E.KT,6882.959,7356.002,7510.016,..,..,..,Georgia,Upper middle income,Europe & Central Asia
Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,9831.227,11877.413,14620.329,..,..,..,Republic of Ghana,Lower middle income,Sub-Saharan Africa
Gibraltar,GIB,CO2 emissions (kt),EN.ATM.CO2E.KT,454.708,462.042,491.378,..,..,..,Gibraltar,High income,Europe & Central Asia
Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2779.586,2581.568,2299.209,..,..,..,Republic of Guinea,Low income,Sub-Saharan Africa
"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,436.373,473.043,491.378,..,..,..,Republic of The Gambia,Low income,Sub-Saharan Africa
Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,245.689,253.023,256.69,..,..,..,Republic of Guinea-Bissau,Low income,Sub-Saharan Africa
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,6769.282,5830.53,5412.492,..,..,..,Republic of Equatorial Guinea,Upper middle income,Sub-Saharan Africa
Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,80725.338,79969.936,69155.953,..,..,..,Hellenic Republic,High income,Europe & Central Asia
Grenada,GRD,CO2 emissions (kt),EN.ATM.CO2E.KT,253.023,271.358,304.361,..,..,..,Grenada,Upper middle income,Latin America & Caribbean
Greenland,GRL,CO2 emissions (kt),EN.ATM.CO2E.KT,707.731,568.385,568.385,..,..,..,Greenland,High income,Europe & Central Asia
Guatemala,GTM,CO2 emissions (kt),EN.ATM.CO2E.KT,11837.076,11972.755,13597.236,..,..,..,Republic of Guatemala,Lower middle income,Latin America & Caribbean
Guam,GUM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Guam,High income,East Asia & Pacific
Guyana,GUY,CO2 emissions (kt),EN.ATM.CO2E.KT,1782.162,1994.848,1936.176,..,..,..,Co-operative Republic of Guyana,Upper middle income,Latin America & Caribbean
"Hong Kong SAR, China",HKG,CO2 emissions (kt),EN.ATM.CO2E.KT,43794.981,43446.616,44994.09,..,..,..,Hong Kong Special Administrative Region of the People's Republic of China,High income,East Asia & Pacific
Honduras,HND,CO2 emissions (kt),EN.ATM.CO2E.KT,8954.814,8984.15,9064.824,..,..,..,Republic of Honduras,Lower middle income,Latin America & Caribbean
Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,20058.49,18162.651,17711.61,..,..,..,Republic of Croatia,High income,Europe & Central Asia
