Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,12251.447,20454.526,21268.6,..,..,..
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,5240.143,4712.095,4814.771,..,..,..
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,121187.016,129987.816,134215.867,..,..,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..
Andorra,ADO,CO2 emissions (kt),EN.ATM.CO2E.KT,491.378,491.378,491.378,..,..,..
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,30340.758,33399.036,32463.951,..,..,..
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,513.38,524.381,524.381,..,..,..
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,1652929.586,1794538.125,1769708.868,..,..,..
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,191633.753,192359.819,189818.588,..,..,..
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,4917.447,5694.851,5496.833,..,..,..
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,2438.555,1301.785,876.413,..,..,..
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,376710.91,375456.796,377906.352,..,..,..
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,65257.932,62247.325,62408.673,..,..,..
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,33446.707,35555.232,35643.24,..,..,..
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,1906.84,1917.841,3109.616,..,..,..
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,29365.336,29086.644,31957.905,..,..,..
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,63571.112,67480.134,68950.601,..,..,..
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1529.139,1470.467,1448.465,..,..,..
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,63655.453,63222.747,63769.13,..,..,..
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,98917.325,92195.714,93618.51,..,..,..
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,597.721,480.377,517.047,..,..,..
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,5306.149,5511.501,5797.527,..,..,..
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,396.036,443.707,363.033,..,..,..
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,733.4,817.741,883.747,..,..,..
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,16145.801,18793.375,19702.791,..,..,..
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,23886.838,22258.69,21906.658,..,..,..
